ensembl_gene_id	entrezgene
ENSMUSG00000084010	101056144
ENSMUSG00000082902	NA
ENSMUSG00000112302	NA
ENSMUSG00000100471	NA
ENSMUSG00000094065	100862177
ENSMUSG00000113992	NA
ENSMUSG00000101296	NA
ENSMUSG00000112090	NA
ENSMUSG00000055116	11865
ENSMUSG00000112506	NA
ENSMUSG00000107869	NA
ENSMUSG00000113893	NA
ENSMUSG00000081057	NA
ENSMUSG00000113470	73992
ENSMUSG00000113440	NA
ENSMUSG00000051735	320435
ENSMUSG00000102607	NA
ENSMUSG00000104450	NA
ENSMUSG00000114738	NA
ENSMUSG00000003134	54610
ENSMUSG00000100596	NA
ENSMUSG00000058600	19946
ENSMUSG00000114759	NA
ENSMUSG00000043895	14739
ENSMUSG00000085730	NA
ENSMUSG00000087231	NA
ENSMUSG00000101855	NA
ENSMUSG00000095981	NA
ENSMUSG00000039391	70884
ENSMUSG00000043943	72560
ENSMUSG00000100107	NA
ENSMUSG00000107103	NA
ENSMUSG00000099981	NA
ENSMUSG00000109882	NA
ENSMUSG00000083728	NA
ENSMUSG00000060565	434171
ENSMUSG00000060565	100038967
ENSMUSG00000107358	NA
ENSMUSG00000078747	100041579
ENSMUSG00000042099	80880
ENSMUSG00000029763	20336
ENSMUSG00000028456	22249
ENSMUSG00000116949	NA
ENSMUSG00000036390	13197
ENSMUSG00000099846	NA
ENSMUSG00000110062	NA
ENSMUSG00000094233	NA
ENSMUSG00000100810	NA
ENSMUSG00000100169	NA
ENSMUSG00000099772	NA
ENSMUSG00000099765	NA
ENSMUSG00000022094	213053
ENSMUSG00000081379	NA
ENSMUSG00000101847	NA
ENSMUSG00000082139	NA
ENSMUSG00000100841	NA
ENSMUSG00000115685	NA
ENSMUSG00000094920	NA
ENSMUSG00000035491	71996
ENSMUSG00000100788	NA
ENSMUSG00000097970	NA
ENSMUSG00000101470	NA
ENSMUSG00000100775	NA
ENSMUSG00000022272	17909
ENSMUSG00000083246	NA
ENSMUSG00000055497	NA
ENSMUSG00000099427	NA
ENSMUSG00000022771	66053
ENSMUSG00000109929	NA
ENSMUSG00000100930	NA
ENSMUSG00000108293	NA
ENSMUSG00000102514	NA
ENSMUSG00000114964	NA
ENSMUSG00000110920	NA
ENSMUSG00000042189	71062
ENSMUSG00000004895	94315
ENSMUSG00000021264	22632
ENSMUSG00000100440	NA
ENSMUSG00000113774	NA
ENSMUSG00000102807	NA
ENSMUSG00000085645	NA
ENSMUSG00000038994	54388
ENSMUSG00000000706	12231
ENSMUSG00000101494	NA
ENSMUSG00000031991	75469
ENSMUSG00000099649	NA
ENSMUSG00000000690	15414
ENSMUSG00000108105	NA
ENSMUSG00000081593	NA
ENSMUSG00000049470	93736
ENSMUSG00000083179	NA
ENSMUSG00000082286	NA
ENSMUSG00000022234	12465
ENSMUSG00000099892	NA
ENSMUSG00000100391	NA
ENSMUSG00000083839	NA
ENSMUSG00000091908	NA
ENSMUSG00000042121	231637
ENSMUSG00000012017	224024
ENSMUSG00000100977	NA
ENSMUSG00000100684	NA
ENSMUSG00000038700	15413
ENSMUSG00000113271	NA
ENSMUSG00000026880	13830
ENSMUSG00000106915	NA
ENSMUSG00000117121	NA
ENSMUSG00000097154	NA
ENSMUSG00000107141	NA
ENSMUSG00000035476	66724
ENSMUSG00000021728	13723
ENSMUSG00000106519	NA
ENSMUSG00000100865	NA
ENSMUSG00000102629	102631733
ENSMUSG00000118035	NA
ENSMUSG00000101226	NA
ENSMUSG00000113848	NA
ENSMUSG00000111047	NA
ENSMUSG00000020956	328092
ENSMUSG00000113595	102639128
ENSMUSG00000047407	21815
ENSMUSG00000042976	319503
ENSMUSG00000101411	102636702
ENSMUSG00000042506	216825
ENSMUSG00000104772	NA
ENSMUSG00000091697	NA
ENSMUSG00000023192	108068
ENSMUSG00000113789	NA
ENSMUSG00000117726	NA
ENSMUSG00000024401	21926
ENSMUSG00000114574	NA
ENSMUSG00000068566	50918
ENSMUSG00000090050	NA
ENSMUSG00000041771	238384
ENSMUSG00000101180	NA
ENSMUSG00000112064	NA
ENSMUSG00000101163	545651
ENSMUSG00000035152	71770
ENSMUSG00000035148	14762
ENSMUSG00000094721	258688
ENSMUSG00000067288	54127
ENSMUSG00000078695	217149
ENSMUSG00000112063	NA
ENSMUSG00000105223	NA
ENSMUSG00000091155	319433
ENSMUSG00000014602	16560
ENSMUSG00000100088	NA
ENSMUSG00000035142	76826
ENSMUSG00000035649	319885
ENSMUSG00000035161	18130
ENSMUSG00000022375	54562
ENSMUSG00000117834	NA
ENSMUSG00000062737	215028
ENSMUSG00000078816	18752
ENSMUSG00000068877	20342
ENSMUSG00000040901	332396
ENSMUSG00000073927	259050
ENSMUSG00000051805	NA
ENSMUSG00000018217	18858
ENSMUSG00000101515	NA
ENSMUSG00000054611	225876
ENSMUSG00000046959	231583
ENSMUSG00000106601	NA
ENSMUSG00000034575	210106
ENSMUSG00000099559	NA
ENSMUSG00000062627	320713
ENSMUSG00000018648	56405
ENSMUSG00000096577	NA
ENSMUSG00000115253	434017
ENSMUSG00000097742	NA
ENSMUSG00000105375	NA
ENSMUSG00000110944	NA
ENSMUSG00000099637	NA
ENSMUSG00000100420	NA
ENSMUSG00000066137	433719
ENSMUSG00000113928	NA
ENSMUSG00000104643	NA
ENSMUSG00000112988	NA
ENSMUSG00000039106	15563
ENSMUSG00000023905	27279
ENSMUSG00000079067	NA
ENSMUSG00000063881	258924
ENSMUSG00000033219	381714
ENSMUSG00000034000	241159
ENSMUSG00000023944	15516
ENSMUSG00000029245	13839
ENSMUSG00000033540	15932
ENSMUSG00000104882	NA
ENSMUSG00000115267	171239
ENSMUSG00000106390	NA
ENSMUSG00000096365	258120
ENSMUSG00000104777	NA
ENSMUSG00000093533	NA
ENSMUSG00000045991	225631
ENSMUSG00000101486	NA
ENSMUSG00000108611	NA
ENSMUSG00000096472	12581
ENSMUSG00000113747	NA
ENSMUSG00000108324	NA
ENSMUSG00000039617	NA
ENSMUSG00000033099	97961
ENSMUSG00000106051	NA
ENSMUSG00000101897	NA
ENSMUSG00000101984	NA
ENSMUSG00000055013	347722
ENSMUSG00000115546	NA
ENSMUSG00000048699	239673
ENSMUSG00000037458	54375
ENSMUSG00000104174	NA
ENSMUSG00000068466	NA
ENSMUSG00000082676	NA
ENSMUSG00000026768	241226
ENSMUSG00000099518	545652
ENSMUSG00000105809	NA
ENSMUSG00000114832	100861998
ENSMUSG00000043782	212733
ENSMUSG00000046667	72397
ENSMUSG00000044033	545428
ENSMUSG00000005442	71722
ENSMUSG00000036427	14751
ENSMUSG00000029595	16873
ENSMUSG00000029119	17160
ENSMUSG00000046364	26451
ENSMUSG00000002984	53333
ENSMUSG00000006179	54373
ENSMUSG00000091133	NA
ENSMUSG00000056917	20469
ENSMUSG00000113486	NA
ENSMUSG00000101375	NA
ENSMUSG00000021594	78925
ENSMUSG00000029269	56362
ENSMUSG00000106085	NA
ENSMUSG00000044952	622320
ENSMUSG00000087345	NA
ENSMUSG00000062382	100862446
ENSMUSG00000100637	NA
ENSMUSG00000101850	NA
ENSMUSG00000106460	NA
ENSMUSG00000104876	NA
ENSMUSG00000098649	102634302
ENSMUSG00000108577	NA
ENSMUSG00000069824	NA
ENSMUSG00000113090	NA
ENSMUSG00000105440	102634003
ENSMUSG00000111549	NA
ENSMUSG00000114003	NA
ENSMUSG00000035704	381903
ENSMUSG00000113311	NA
ENSMUSG00000106112	NA
ENSMUSG00000108421	NA
ENSMUSG00000099420	545653
ENSMUSG00000083716	NA
ENSMUSG00000105651	76398
ENSMUSG00000076871	NA
ENSMUSG00000099436	NA
ENSMUSG00000096107	NA
ENSMUSG00000117690	NA
ENSMUSG00000103500	NA
ENSMUSG00000037798	11720
ENSMUSG00000076873	NA
ENSMUSG00000117814	NA
ENSMUSG00000111488	NA
ENSMUSG00000112968	NA
ENSMUSG00000108700	NA
ENSMUSG00000111033	NA
ENSMUSG00000054519	237775
ENSMUSG00000040147	109731
ENSMUSG00000095101	545654
ENSMUSG00000101974	NA
ENSMUSG00000113636	NA
ENSMUSG00000100067	NA
ENSMUSG00000025041	76952
ENSMUSG00000113534	NA
ENSMUSG00000021595	28114
ENSMUSG00000113212	NA
ENSMUSG00000112964	NA
