"ensembl_gene_id"	"Ctrl1"	"Ctrl2"	"Ctrl3"	"Scr1"	"Scr2"	"Scr3"
"ENSMUSG00000002608"	92	102	89	112	101	103
"ENSMUSG00000002617"	44	9	28	19	32	5
"ENSMUSG00000002625"	229	165	173	164	260	145
"ENSMUSG00000002633"	0	0	0	0	0	1
"ENSMUSG00000002635"	183	305	183	235	210	207
"ENSMUSG00000002658"	498	677	521	511	433	489
"ENSMUSG00000002660"	665	1123	690	826	607	794
"ENSMUSG00000002661"	219	217	130	142	189	123
"ENSMUSG00000002664"	0	0	1	0	1	0
"ENSMUSG00000002668"	2	5	5	1	4	4
"ENSMUSG00000002679"	431	527	361	463	339	407
"ENSMUSG00000002688"	25	18	12	14	14	9
"ENSMUSG00000002699"	6	4	4	2	3	6
"ENSMUSG00000002718"	284	414	283	370	199	355
"ENSMUSG00000002728"	445	876	385	712	421	592
"ENSMUSG00000002731"	302	315	263	280	229	247
"ENSMUSG00000002732"	254	297	123	215	104	153
"ENSMUSG00000002733"	974	2070	1397	514	889	1453
"ENSMUSG00000002741"	529	631	432	625	578	560
"ENSMUSG00000002748"	167	329	195	249	208	233
"ENSMUSG00000002763"	18	19	21	14	27	15
"ENSMUSG00000002767"	600	825	547	664	559	592
"ENSMUSG00000002768"	657	935	666	689	658	631
"ENSMUSG00000002769"	0	1	2	2	2	1
"ENSMUSG00000002771"	15	6	11	5	13	9
"ENSMUSG00000002778"	902	953	721	920	907	663
"ENSMUSG00000002781"	77	59	73	45	51	57
"ENSMUSG00000002791"	1	1	3	0	1	0
"ENSMUSG00000002797"	173	219	116	167	124	187
"ENSMUSG00000002799"	2	2	0	0	1	0
"ENSMUSG00000002803"	34	29	10	27	22	16
"ENSMUSG00000002804"	294	346	247	194	324	272
"ENSMUSG00000002808"	482	400	436	369	619	422
"ENSMUSG00000002812"	120	110	87	95	82	87
"ENSMUSG00000002814"	38	72	26	77	35	46
"ENSMUSG00000002820"	127	140	86	144	124	87
"ENSMUSG00000002825"	72	154	74	101	93	93
"ENSMUSG00000002831"	1	2	0	2	0	0
"ENSMUSG00000002833"	834	1933	1053	796	738	1266
"ENSMUSG00000002835"	47	144	38	118	46	79
"ENSMUSG00000002844"	975	1066	748	932	786	787
"ENSMUSG00000002845"	96	117	68	119	86	126
"ENSMUSG00000002846"	337	447	344	476	356	454
"ENSMUSG00000002847"	1	1	0	2	0	2
"ENSMUSG00000002870"	485	857	373	856	243	799
"ENSMUSG00000002871"	141	92	79	83	173	108
